flow,origin,destination
0.0,53033032010,53033001800
0.0,53033032010,53033002000
0.0,53033032010,53033028402
0.0,53033032010,53033032002
0.0,53033032010,53033032103
0.0,53033032010,53033026400
0.0,53033032010,53033028801
0.0,53033032010,53033028901
0.0,53033032010,53033025400
0.0,53033032010,53033026600
0.0,53033032010,53033026801
0.0,53033032010,53033027200
0.0,53033032010,53033021802
0.0,53033032010,53033021903
0.0,53033032010,53033023601
0.0,53033032010,53033026200
0.0,53033032010,53033029802
0.0,53033032010,53033006500
0.0,53033032010,53033007500
0.0,53033032010,53033008001
1022.62518374991,53033032010,53033008100
0.0,53033032010,53033008600
0.0,53033032010,53033010800
0.0,53033032010,53033011200
0.0,53033032010,53033011900
0.0,53033032010,53033021804
0.0,53033032010,53033022005
0.0,53033032010,53033023401
0.0,53033032010,53033024702
0.0,53033032010,53033001702
0.0,53033032010,53033004301
0.0,53033032010,53033004302
0.0,53033032010,53033007402
0.0,53033032010,53033010001
0.0,53033032010,53033010002
0.0,53033032010,53033001701
0.0,53033032010,53033007401
0.0,53033032010,53033010402
0.0,53033032010,53033010702
0.0,53033032010,53033010401
0.0,53033032010,53033010701
0.0,53033032010,53033011001
0.0,53033032010,53033011002
0.0,53033032010,53033032800
0.0,53033032010,53033000100
0.0,53033032010,53033000800
0.0,53033032010,53033001000
0.0,53033032010,53033001200
0.0,53033032010,53033001900
0.0,53033032010,53033003400
0.0,53033032010,53033022603
0.0,53033032010,53033022605
0.0,53033032010,53033022802
0.0,53033032010,53033023202
0.0,53033032010,53033023700
0.0,53033032010,53033025701
0.0,53033032010,53033026500
0.0,53033032010,53033027000
0.0,53033032010,53033027701
0.0,53033032010,53033028200
0.0,53033032010,53033003500
0.0,53033032010,53033004400
0.0,53033032010,53033005301
0.0,53033032010,53033006400
0.0,53033032010,53033008002
0.0,53033032010,53033008400
0.0,53033032010,53033008800
0.0,53033032010,53033009000
0.0,53033032010,53033009800
0.0,53033032010,53033009600
0.0,53033032010,53033009701
0.0,53033032010,53033009900
0.0,53033032010,53033010200
0.0,53033032010,53033010500
0.0,53033032010,53033011101
0.0,53033032010,53033011700
0.0,53033030314,53033020700
0.0,53033030314,53033020800
0.0,53033030314,53033020900
0.0,53033030314,53033021000
0.0,53033030314,53033022001
0.0,53033030314,53033021400
0.0,53033030314,53033031604
0.0,53033030314,53033032011
0.0,53033030314,53033032214
0.0,53033030314,53033002600
0.0,53033030314,53033004500
0.0,53033030314,53033004700
0.0,53033030314,53033005100
0.0,53033030314,53033006700
0.0,53033030314,53033010100
0.0,53033030314,53033010900
0.0,53033030314,53033011102
0.0,53033030314,53033000401
0.0,53033030314,53033001300
0.0,53033030314,53033002100
0.0,53033030314,53033003600
0.0,53033030314,53033003800
0.0,53033030314,53033006100
0.0,53033030314,53033000600
0.0,53033030314,53033026300
0.0,53033030314,53033028000
0.0,53033030314,53033011401
0.0,53033030314,53033011402
0.0,53033030314,53033023403
0.0,53033030314,53033023803
0.0,53033030314,53033023804
0.0,53033030314,53033025301
0.0,53033030314,53033025302
0.0,53033030314,53033025806
0.0,53033030314,53033029206
0.0,53033030314,53033030005
0.0,53033030314,53033030006
0.0,53033030314,53033031705
0.0,53033030314,53033032010
0.0,53033030314,53033030314
0.0,53033030314,53033030305
0.0,53033030314,53033030801
0.0,53033030314,53033032210
0.0,53033030314,53033011600
0.0,53033030314,53033020600
0.0,53033030314,53033021700
0.0,53033030314,53033007300
0.0,53033030314,53033007600
0.0,53033030314,53033007900
0.0,53033030314,53033009200
0.0,53033030314,53033012000
0.0,53033030314,53033021905
0.0,53033030314,53033022701
0.0,53033030314,53033023201
0.0,53033030314,53033024200
0.0,53033030314,53033024300
0.0,53033030314,53033030310
0.0,53033030314,53033031100
0.0,53033030314,53033001100
0.0,53033030314,53033002800
0.0,53033030314,53033002900
0.0,53033030314,53033003900
0.0,53033030314,53033004200
0.0,53033030314,53033004600
0.0,53033030314,53033006000
0.0,53033030314,53033006300
0.0,53033030314,53033007700
0.0,53033030314,53033008300
0.0,53033030314,53033008900
0.0,53033030314,53033009100
0.0,53033030314,53033009400
0.0,53033030314,53033032208
0.0,53033030314,53033024800
0.0,53033030314,53033029901
0.0,53033030314,53033029203
0.0,53033030314,53033029502
0.0,53033030314,53033029504
0.0,53033030314,53033032702
0.0,53033030314,53033031206
0.0,53033030314,53033031205
0.0,53033030314,53033029306
0.0,53033030314,53033022400
0.0,53033030314,53033022500
0.0,53033030314,53033024000
0.0,53033030314,53033028100
0.0,53033030314,53033002700
0.0,53033030314,53033004100
0.0,53033030314,53033004900
0.0,53033030314,53033005000
0.0,53033030314,53033005302
0.0,53033030314,53033006800
0.0,53033030314,53033007100
0.0,53033030314,53033007200
0.0,53033030314,53033008500
0.0,53033030314,53033008700
0.0,53033030314,53033010300
0.0,53033030314,53033010600
0.0,53033030314,53033032104
0.0,53033030314,53033032325
0.0,53033030314,53033032309
0.0,53033030314,53033032313
0.0,53033030314,53033032319
0.0,53033030314,53033011300
0.0,53033030314,53033028500
0.0,53033030314,53033005900
0.0,53033030314,53033005200
0.0,53033030314,53033005700
0.0,53033030314,53033005802
0.0,53033030314,53033006200
0.0,53033030314,53033026002
0.0,53033030314,53033023604
0.0,53033030314,53033004800
0.0,53033030314,53033022202
0.0,53033030314,53033005801
0.0,53033030314,53033000402
0.0,53033030314,53033005400
0.0,53033030314,53033024400
0.0,53033030314,53033026001
0.0,53033030314,53033000200
0.0,53033030314,53033007000
0.0,53033030314,53033009500
0.0,53033030314,53033028403
0.0,53033030314,53033030501
0.0,53033030314,53033001600
0.0,53033030314,53033023900
0.0,53033030314,53033027900
0.0,53033030314,53033003200
0.0,53033030314,53033009300
0.0,53033030314,53033029801
0.0,53033030314,53033009702
0.0,53033030314,53033021600
0.0,53033030314,53033004000
0.0,53033030314,53033007800
0.0,53033030314,53033003300
0.0,53033030314,53033020402
0.0,53033030314,53033022006
0.0,53033030314,53033022604
0.0,53033030314,53033022801
0.0,53033030314,53033022803
0.0,53033030314,53033030004
0.0,53033030314,53033030311
0.0,53033030314,53033000700
0.0,53033030314,53033003000
0.0,53033030314,53033006600
0.0,53033030314,53033006900
0.0,53033030314,53033008200
0.0,53033030314,53033011800
0.0,53033030314,53033020200
0.0,53033030314,53033020300
0.0,53033030314,53033021500
0.0,53033030314,53033032328
0.0,53033030314,53033001400
0.0,53033030314,53033001800
0.0,53033030314,53033002000
0.0,53033030314,53033028402
0.0,53033030314,53033032002
0.0,53033030314,53033032103
0.0,53033030314,53033026400
0.0,53033030314,53033028801
0.0,53033030314,53033028901
0.0,53033030314,53033025400
0.0,53033030314,53033026600
0.0,53033030314,53033026801
0.0,53033030314,53033027200
0.0,53033030314,53033021802
0.0,53033030314,53033021903
0.0,53033030314,53033023601
0.0,53033030314,53033026200
0.0,53033030314,53033029802
0.0,53033030314,53033006500
0.0,53033030314,53033007500
0.0,53033030314,53033008001
0.0,53033030314,53033008100
0.0,53033030314,53033008600
0.0,53033030314,53033010800
0.0,53033030314,53033011200
0.0,53033030314,53033011900
0.0,53033030314,53033021804
0.0,53033030314,53033022005
0.0,53033030314,53033023401
0.0,53033030314,53033024702
0.0,53033030314,53033001702
0.0,53033030314,53033004301
0.0,53033030314,53033004302
0.0,53033030314,53033007402
0.0,53033030314,53033010001
0.0,53033030314,53033010002
0.0,53033030314,53033001701
0.0,53033030314,53033007401
0.0,53033030314,53033010402
0.0,53033030314,53033010702
0.0,53033030314,53033010401
0.0,53033030314,53033010701
0.0,53033030314,53033011001
0.0,53033030314,53033011002
0.0,53033030314,53033032800
0.0,53033030314,53033000100
0.0,53033030314,53033000800
0.0,53033030314,53033001000
0.0,53033030314,53033001200
0.0,53033030314,53033001900
0.0,53033030314,53033003400
0.0,53033030314,53033022603
0.0,53033030314,53033022605
0.0,53033030314,53033022802
0.0,53033030314,53033023202
0.0,53033030314,53033023700
0.0,53033030314,53033025701
0.0,53033030314,53033026500
0.0,53033030314,53033027000
0.0,53033030314,53033027701
0.0,53033030314,53033028200
0.0,53033030314,53033003500
0.0,53033030314,53033004400
0.0,53033030314,53033005301
0.0,53033030314,53033006400
0.0,53033030314,53033008002
0.0,53033030314,53033008400
0.0,53033030314,53033008800
0.0,53033030314,53033009000
0.0,53033030314,53033009800
0.0,53033030314,53033009600
0.0,53033030314,53033009701
0.0,53033030314,53033009900
0.0,53033030314,53033010200
0.0,53033030314,53033010500
0.0,53033030314,53033011101
0.0,53033030314,53033011700
0.0,53033030305,53033020700
0.0,53033030305,53033020800
0.0,53033030305,53033020900
0.0,53033030305,53033021000
0.0,53033030305,53033022001
0.0,53033030305,53033021400
0.0,53033030305,53033031604
0.0,53033030305,53033032011
0.0,53033030305,53033032214
0.0,53033030305,53033002600
0.0,53033030305,53033004500
0.0,53033030305,53033004700
0.0,53033030305,53033005100
0.0,53033030305,53033006700
0.0,53033030305,53033010100
0.0,53033030305,53033010900
0.0,53033030305,53033011102
0.0,53033030305,53033000401
0.0,53033030305,53033001300
0.0,53033030305,53033002100
0.0,53033030305,53033003600
0.0,53033030305,53033003800
0.0,53033030305,53033006100
0.0,53033030305,53033000600
0.0,53033030305,53033026300
0.0,53033030305,53033028000
0.0,53033030305,53033011401
0.0,53033030305,53033011402
0.0,53033030305,53033023403
0.0,53033030305,53033023803
3068.82797366306,53033030305,53033023804
0.0,53033030305,53033025301
0.0,53033030305,53033025302
0.0,53033030305,53033025806
0.0,53033030305,53033029206
0.0,53033030305,53033030005
0.0,53033030305,53033030006
0.0,53033030305,53033031705
0.0,53033030305,53033032010
0.0,53033030305,53033030314
3068.82797366306,53033030305,53033030305
0.0,53033030305,53033030801
0.0,53033030305,53033032210
0.0,53033030305,53033011600
0.0,53033030305,53033020600
0.0,53033030305,53033021700
0.0,53033030305,53033007300
0.0,53033030305,53033007600
0.0,53033030305,53033007900
0.0,53033030305,53033009200
0.0,53033030305,53033012000
0.0,53033030305,53033021905
0.0,53033030305,53033022701
0.0,53033030305,53033023201
0.0,53033030305,53033024200
0.0,53033030305,53033024300
0.0,53033030305,53033030310
0.0,53033030305,53033031100
0.0,53033030305,53033001100
0.0,53033030305,53033002800
0.0,53033030305,53033002900
0.0,53033030305,53033003900
0.0,53033030305,53033004200
0.0,53033030305,53033004600
0.0,53033030305,53033006000
0.0,53033030305,53033006300
0.0,53033030305,53033007700
0.0,53033030305,53033008300
0.0,53033030305,53033008900
0.0,53033030305,53033009100
0.0,53033030305,53033009400
0.0,53033030305,53033032208
0.0,53033030305,53033024800
0.0,53033030305,53033029901
0.0,53033030305,53033029203
0.0,53033030305,53033029502
0.0,53033030305,53033029504
0.0,53033030305,53033032702
0.0,53033030305,53033031206
0.0,53033030305,53033031205
0.0,53033030305,53033029306
0.0,53033030305,53033022400
0.0,53033030305,53033022500
0.0,53033030305,53033024000
0.0,53033030305,53033028100
0.0,53033030305,53033002700
0.0,53033030305,53033004100
0.0,53033030305,53033004900
0.0,53033030305,53033005000
0.0,53033030305,53033005302
0.0,53033030305,53033006800
0.0,53033030305,53033007100
0.0,53033030305,53033007200
0.0,53033030305,53033008500
0.0,53033030305,53033008700
0.0,53033030305,53033010300
0.0,53033030305,53033010600
0.0,53033030305,53033032104
0.0,53033030305,53033032325
0.0,53033030305,53033032309
0.0,53033030305,53033032313
0.0,53033030305,53033032319
0.0,53033030305,53033011300
0.0,53033030305,53033028500
0.0,53033030305,53033005900
0.0,53033030305,53033005200
0.0,53033030305,53033005700
0.0,53033030305,53033005802
0.0,53033030305,53033006200
0.0,53033030305,53033026002
0.0,53033030305,53033023604
0.0,53033030305,53033004800
0.0,53033030305,53033022202
0.0,53033030305,53033005801
0.0,53033030305,53033000402
0.0,53033030305,53033005400
0.0,53033030305,53033024400
0.0,53033030305,53033026001
0.0,53033030305,53033000200
0.0,53033030305,53033007000
0.0,53033030305,53033009500
0.0,53033030305,53033028403
0.0,53033030305,53033030501
0.0,53033030305,53033001600
0.0,53033030305,53033023900
0.0,53033030305,53033027900
0.0,53033030305,53033003200
0.0,53033030305,53033009300
0.0,53033030305,53033029801
0.0,53033030305,53033009702
0.0,53033030305,53033021600
0.0,53033030305,53033004000
0.0,53033030305,53033007800
0.0,53033030305,53033003300
0.0,53033030305,53033020402
0.0,53033030305,53033022006
0.0,53033030305,53033022604
0.0,53033030305,53033022801
0.0,53033030305,53033022803
0.0,53033030305,53033030004
0.0,53033030305,53033030311
0.0,53033030305,53033000700
0.0,53033030305,53033003000
0.0,53033030305,53033006600
0.0,53033030305,53033006900
0.0,53033030305,53033008200
0.0,53033030305,53033011800
0.0,53033030305,53033020200
0.0,53033030305,53033020300
0.0,53033030305,53033021500
0.0,53033030305,53033032328
0.0,53033030305,53033001400
0.0,53033030305,53033001800
0.0,53033030305,53033002000
0.0,53033030305,53033028402
0.0,53033030305,53033032002
0.0,53033030305,53033032103
0.0,53033030305,53033026400
0.0,53033030305,53033028801
0.0,53033030305,53033028901
0.0,53033030305,53033025400
0.0,53033030305,53033026600
0.0,53033030305,53033026801
0.0,53033030305,53033027200
0.0,53033030305,53033021802
0.0,53033030305,53033021903
0.0,53033030305,53033023601
0.0,53033030305,53033026200
0.0,53033030305,53033029802
0.0,53033030305,53033006500
0.0,53033030305,53033007500
0.0,53033030305,53033008001
0.0,53033030305,53033008100
0.0,53033030305,53033008600
0.0,53033030305,53033010800
0.0,53033030305,53033011200
0.0,53033030305,53033011900
0.0,53033030305,53033021804
0.0,53033030305,53033022005
0.0,53033030305,53033023401
0.0,53033030305,53033024702
0.0,53033030305,53033001702
0.0,53033030305,53033004301
0.0,53033030305,53033004302
0.0,53033030305,53033007402
0.0,53033030305,53033010001
0.0,53033030305,53033010002
0.0,53033030305,53033001701
0.0,53033030305,53033007401
0.0,53033030305,53033010402
0.0,53033030305,53033010702
0.0,53033030305,53033010401
0.0,53033030305,53033010701
0.0,53033030305,53033011001
0.0,53033030305,53033011002
0.0,53033030305,53033032800
0.0,53033030305,53033000100
0.0,53033030305,53033000800
0.0,53033030305,53033001000
0.0,53033030305,53033001200
0.0,53033030305,53033001900
0.0,53033030305,53033003400
0.0,53033030305,53033022603
0.0,53033030305,53033022605
0.0,53033030305,53033022802
0.0,53033030305,53033023202
0.0,53033030305,53033023700
0.0,53033030305,53033025701
0.0,53033030305,53033026500
0.0,53033030305,53033027000
0.0,53033030305,53033027701
0.0,53033030305,53033028200
0.0,53033030305,53033003500
0.0,53033030305,53033004400
0.0,53033030305,53033005301
0.0,53033030305,53033006400
0.0,53033030305,53033008002
0.0,53033030305,53033008400
0.0,53033030305,53033008800
0.0,53033030305,53033009000
0.0,53033030305,53033009800
0.0,53033030305,53033009600
0.0,53033030305,53033009701
0.0,53033030305,53033009900
0.0,53033030305,53033010200
0.0,53033030305,53033010500
0.0,53033030305,53033011101
0.0,53033030305,53033011700
0.0,53033030801,53033020700
0.0,53033030801,53033020800
0.0,53033030801,53033020900
0.0,53033030801,53033021000
0.0,53033030801,53033022001
0.0,53033030801,53033021400
0.0,53033030801,53033031604
0.0,53033030801,53033032011
0.0,53033030801,53033032214
0.0,53033030801,53033002600
0.0,53033030801,53033004500
0.0,53033030801,53033004700
0.0,53033030801,53033005100
0.0,53033030801,53033006700
0.0,53033030801,53033010100
0.0,53033030801,53033010900
0.0,53033030801,53033011102
0.0,53033030801,53033000401
0.0,53033030801,53033001300
0.0,53033030801,53033002100
0.0,53033030801,53033003600
0.0,53033030801,53033003800
0.0,53033030801,53033006100
0.0,53033030801,53033000600
0.0,53033030801,53033026300
0.0,53033030801,53033028000
0.0,53033030801,53033011401
0.0,53033030801,53033011402
0.0,53033030801,53033023403
0.0,53033030801,53033023803
0.0,53033030801,53033023804
0.0,53033030801,53033025301
0.0,53033030801,53033025302
0.0,53033030801,53033025806
0.0,53033030801,53033029206
0.0,53033030801,53033030005
0.0,53033030801,53033030006
0.0,53033030801,53033031705
0.0,53033030801,53033032010
0.0,53033030801,53033030314
0.0,53033030801,53033030305
0.0,53033030801,53033030801
0.0,53033030801,53033032210
0.0,53033030801,53033011600
0.0,53033030801,53033020600
0.0,53033030801,53033021700
0.0,53033030801,53033007300
0.0,53033030801,53033007600
0.0,53033030801,53033007900
0.0,53033030801,53033009200
0.0,53033030801,53033012000
0.0,53033030801,53033021905
0.0,53033030801,53033022701
0.0,53033030801,53033023201
0.0,53033030801,53033024200
0.0,53033030801,53033024300
0.0,53033030801,53033030310
0.0,53033030801,53033031100
0.0,53033030801,53033001100
0.0,53033030801,53033002800
0.0,53033030801,53033002900
0.0,53033030801,53033003900
0.0,53033030801,53033004200
0.0,53033030801,53033004600
0.0,53033030801,53033006000
0.0,53033030801,53033006300
0.0,53033030801,53033007700
0.0,53033030801,53033008300
0.0,53033030801,53033008900
0.0,53033030801,53033009100
0.0,53033030801,53033009400
0.0,53033030801,53033032208
0.0,53033030801,53033024800
0.0,53033030801,53033029901
0.0,53033030801,53033029203
0.0,53033030801,53033029502
0.0,53033030801,53033029504
0.0,53033030801,53033032702
0.0,53033030801,53033031206
0.0,53033030801,53033031205
0.0,53033030801,53033029306
0.0,53033030801,53033022400
0.0,53033030801,53033022500
0.0,53033030801,53033024000
0.0,53033030801,53033028100
0.0,53033030801,53033002700
0.0,53033030801,53033004100
0.0,53033030801,53033004900
0.0,53033030801,53033005000
0.0,53033030801,53033005302
0.0,53033030801,53033006800
0.0,53033030801,53033007100
0.0,53033030801,53033007200
0.0,53033030801,53033008500
0.0,53033030801,53033008700
0.0,53033030801,53033010300
0.0,53033030801,53033010600
0.0,53033030801,53033032104
0.0,53033030801,53033032325
0.0,53033030801,53033032309
0.0,53033030801,53033032313
0.0,53033030801,53033032319
0.0,53033030801,53033011300
0.0,53033030801,53033028500
0.0,53033030801,53033005900
0.0,53033030801,53033005200
0.0,53033030801,53033005700
0.0,53033030801,53033005802
0.0,53033030801,53033006200
0.0,53033030801,53033026002
0.0,53033030801,53033023604
0.0,53033030801,53033004800
0.0,53033030801,53033022202
0.0,53033030801,53033005801
0.0,53033030801,53033000402
0.0,53033030801,53033005400
0.0,53033030801,53033024400
0.0,53033030801,53033026001
0.0,53033030801,53033000200
0.0,53033030801,53033007000
0.0,53033030801,53033009500
0.0,53033030801,53033028403
0.0,53033030801,53033030501
0.0,53033030801,53033001600
0.0,53033030801,53033023900
0.0,53033030801,53033027900
0.0,53033030801,53033003200
0.0,53033030801,53033009300
0.0,53033030801,53033029801
0.0,53033030801,53033009702
0.0,53033030801,53033021600
0.0,53033030801,53033004000
0.0,53033030801,53033007800
0.0,53033030801,53033003300
0.0,53033030801,53033020402
0.0,53033030801,53033022006
0.0,53033030801,53033022604
0.0,53033030801,53033022801
0.0,53033030801,53033022803
0.0,53033030801,53033030004
0.0,53033030801,53033030311
0.0,53033030801,53033000700
0.0,53033030801,53033003000
0.0,53033030801,53033006600
0.0,53033030801,53033006900
13.3002840329107,53033030801,53033008200
0.0,53033030801,53033011800
0.0,53033030801,53033020200
0.0,53033030801,53033020300
0.0,53033030801,53033021500
0.0,53033030801,53033032328
0.0,53033030801,53033001400
0.0,53033030801,53033001800
0.0,53033030801,53033002000
0.0,53033030801,53033028402
0.0,53033030801,53033032002
0.0,53033030801,53033032103
0.0,53033030801,53033026400
0.0,53033030801,53033028801
0.0,53033030801,53033028901
0.0,53033030801,53033025400
0.0,53033030801,53033026600
0.0,53033030801,53033026801
0.0,53033030801,53033027200
0.0,53033030801,53033021802
0.0,53033030801,53033021903
0.0,53033030801,53033023601
0.0,53033030801,53033026200
0.0,53033030801,53033029802
0.0,53033030801,53033006500
0.0,53033030801,53033007500
0.0,53033030801,53033008001
0.0,53033030801,53033008100
0.0,53033030801,53033008600
0.0,53033030801,53033010800
0.0,53033030801,53033011200
0.0,53033030801,53033011900
0.0,53033030801,53033021804
0.0,53033030801,53033022005
0.0,53033030801,53033023401
0.0,53033030801,53033024702
0.0,53033030801,53033001702
0.0,53033030801,53033004301
0.0,53033030801,53033004302
0.0,53033030801,53033007402
0.0,53033030801,53033010001
0.0,53033030801,53033010002
0.0,53033030801,53033001701
0.0,53033030801,53033007401
0.0,53033030801,53033010402
0.0,53033030801,53033010702
0.0,53033030801,53033010401
0.0,53033030801,53033010701
0.0,53033030801,53033011001
0.0,53033030801,53033011002
0.0,53033030801,53033032800
0.0,53033030801,53033000100
0.0,53033030801,53033000800
0.0,53033030801,53033001000
0.0,53033030801,53033001200
0.0,53033030801,53033001900
0.0,53033030801,53033003400
0.0,53033030801,53033022603
0.0,53033030801,53033022605
0.0,53033030801,53033022802
0.0,53033030801,53033023202
0.0,53033030801,53033023700
0.0,53033030801,53033025701
0.0,53033030801,53033026500
0.0,53033030801,53033027000
0.0,53033030801,53033027701
0.0,53033030801,53033028200
0.0,53033030801,53033003500
0.0,53033030801,53033004400
0.0,53033030801,53033005301
0.0,53033030801,53033006400
0.0,53033030801,53033008002
0.0,53033030801,53033008400
0.0,53033030801,53033008800
0.0,53033030801,53033009000
0.0,53033030801,53033009800
0.0,53033030801,53033009600
0.0,53033030801,53033009701
0.0,53033030801,53033009900
0.0,53033030801,53033010200
0.0,53033030801,53033010500
0.0,53033030801,53033011101
0.0,53033030801,53033011700
0.0,53033032210,53033020700
0.0,53033032210,53033020800
0.0,53033032210,53033020900
0.0,53033032210,53033021000
0.0,53033032210,53033022001
0.0,53033032210,53033021400
0.0,53033032210,53033031604
0.0,53033032210,53033032011
0.0,53033032210,53033032214
0.0,53033032210,53033002600
0.0,53033032210,53033004500
0.0,53033032210,53033004700
0.0,53033032210,53033005100
0.0,53033032210,53033006700
0.0,53033032210,53033010100
0.0,53033032210,53033010900
0.0,53033032210,53033011102
0.0,53033032210,53033000401
0.0,53033032210,53033001300
0.0,53033032210,53033002100
0.0,53033032210,53033003600
0.0,53033032210,53033003800
0.0,53033032210,53033006100
0.0,53033032210,53033000600
0.0,53033032210,53033026300
0.0,53033032210,53033028000
0.0,53033032210,53033011401
0.0,53033032210,53033011402
0.0,53033032210,53033023403
0.0,53033032210,53033023803
0.0,53033032210,53033023804
0.0,53033032210,53033025301
0.0,53033032210,53033025302
0.0,53033032210,53033025806
0.0,53033032210,53033029206
0.0,53033032210,53033030005
0.0,53033032210,53033030006
0.0,53033032210,53033031705
0.0,53033032210,53033032010
0.0,53033032210,53033030314
0.0,53033032210,53033030305
0.0,53033032210,53033030801
0.0,53033032210,53033032210
0.0,53033032210,53033011600
0.0,53033032210,53033020600
0.0,53033032210,53033021700
0.0,53033032210,53033007300
0.0,53033032210,53033007600
0.0,53033032210,53033007900
0.0,53033032210,53033009200
0.0,53033032210,53033012000
0.0,53033032210,53033021905
0.0,53033032210,53033022701
0.0,53033032210,53033023201
0.0,53033032210,53033024200
0.0,53033032210,53033024300
0.0,53033032210,53033030310
0.0,53033032210,53033031100
0.0,53033032210,53033001100
0.0,53033032210,53033002800
0.0,53033032210,53033002900
0.0,53033032210,53033003900
0.0,53033032210,53033004200
0.0,53033032210,53033004600
0.0,53033032210,53033006000
0.0,53033032210,53033006300
0.0,53033032210,53033007700
0.0,53033032210,53033008300
0.0,53033032210,53033008900
0.0,53033032210,53033009100
0.0,53033032210,53033009400
0.0,53033032210,53033032208
0.0,53033032210,53033024800
0.0,53033032210,53033029901
0.0,53033032210,53033029203
0.0,53033032210,53033029502
0.0,53033032210,53033029504
0.0,53033032210,53033032702
0.0,53033032210,53033031206
0.0,53033032210,53033031205
0.0,53033032210,53033029306
0.0,53033032210,53033022400
0.0,53033032210,53033022500
0.0,53033032210,53033024000
0.0,53033032210,53033028100
0.0,53033032210,53033002700
0.0,53033032210,53033004100
0.0,53033032210,53033004900
0.0,53033032210,53033005000
0.0,53033032210,53033005302
0.0,53033032210,53033006800
0.0,53033032210,53033007100
0.0,53033032210,53033007200
0.0,53033032210,53033008500
0.0,53033032210,53033008700
0.0,53033032210,53033010300
0.0,53033032210,53033010600
0.0,53033032210,53033032104
0.0,53033032210,53033032325
0.0,53033032210,53033032309
0.0,53033032210,53033032313
0.0,53033032210,53033032319
0.0,53033032210,53033011300
0.0,53033032210,53033028500
0.0,53033032210,53033005900
0.0,53033032210,53033005200
0.0,53033032210,53033005700
0.0,53033032210,53033005802
0.0,53033032210,53033006200
0.0,53033032210,53033026002
0.0,53033032210,53033023604
0.0,53033032210,53033004800
0.0,53033032210,53033022202
0.0,53033032210,53033005801
0.0,53033032210,53033000402
0.0,53033032210,53033005400
0.0,53033032210,53033024400
0.0,53033032210,53033026001
0.0,53033032210,53033000200
0.0,53033032210,53033007000
0.0,53033032210,53033009500
0.0,53033032210,53033028403
0.0,53033032210,53033030501
0.0,53033032210,53033001600
0.0,53033032210,53033023900
0.0,53033032210,53033027900
0.0,53033032210,53033003200
131.079816426019,53033032210,53033009300
0.0,53033032210,53033029801
0.0,53033032210,53033009702
0.0,53033032210,53033021600
0.0,53033032210,53033004000
0.0,53033032210,53033007800
0.0,53033032210,53033003300
0.0,53033032210,53033020402
0.0,53033032210,53033022006
0.0,53033032210,53033022604
0.0,53033032210,53033022801
0.0,53033032210,53033022803
0.0,53033032210,53033030004
0.0,53033032210,53033030311
0.0,53033032210,53033000700
0.0,53033032210,53033003000
0.0,53033032210,53033006600
0.0,53033032210,53033006900
0.0,53033032210,53033008200
0.0,53033032210,53033011800
0.0,53033032210,53033020200
0.0,53033032210,53033020300
0.0,53033032210,53033021500
0.0,53033032210,53033032328
0.0,53033032210,53033001400
0.0,53033032210,53033001800
0.0,53033032210,53033002000
0.0,53033032210,53033028402
0.0,53033032210,53033032002
0.0,53033032210,53033032103
0.0,53033032210,53033026400
0.0,53033032210,53033028801
0.0,53033032210,53033028901
0.0,53033032210,53033025400
0.0,53033032210,53033026600
0.0,53033032210,53033026801
0.0,53033032210,53033027200
0.0,53033032210,53033021802
0.0,53033032210,53033021903
0.0,53033032210,53033023601
0.0,53033032210,53033026200
0.0,53033032210,53033029802
0.0,53033032210,53033006500
0.0,53033032210,53033007500
0.0,53033032210,53033008001
0.0,53033032210,53033008100
0.0,53033032210,53033008600
0.0,53033032210,53033010800
0.0,53033032210,53033011200
0.0,53033032210,53033011900
0.0,53033032210,53033021804
0.0,53033032210,53033022005
0.0,53033032210,53033023401
0.0,53033032210,53033024702
0.0,53033032210,53033001702
0.0,53033032210,53033004301
0.0,53033032210,53033004302
0.0,53033032210,53033007402
0.0,53033032210,53033010001
0.0,53033032210,53033010002
0.0,53033032210,53033001701
0.0,53033032210,53033007401
0.0,53033032210,53033010402
0.0,53033032210,53033010702
0.0,53033032210,53033010401
0.0,53033032210,53033010701
0.0,53033032210,53033011001
0.0,53033032210,53033011002
0.0,53033032210,53033032800
0.0,53033032210,53033000100
0.0,53033032210,53033000800
0.0,53033032210,53033001000
0.0,53033032210,53033001200
0.0,53033032210,53033001900
0.0,53033032210,53033003400
0.0,53033032210,53033022603
0.0,53033032210,53033022605
0.0,53033032210,53033022802
0.0,53033032210,53033023202
0.0,53033032210,53033023700
0.0,53033032210,53033025701
0.0,53033032210,53033026500
0.0,53033032210,53033027000
0.0,53033032210,53033027701
0.0,53033032210,53033028200
0.0,53033032210,53033003500
0.0,53033032210,53033004400
0.0,53033032210,53033005301
0.0,53033032210,53033006400
0.0,53033032210,53033008002
0.0,53033032210,53033008400
0.0,53033032210,53033008800
0.0,53033032210,53033009000
0.0,53033032210,53033009800
0.0,53033032210,53033009600
0.0,53033032210,53033009701
0.0,53033032210,53033009900
0.0,53033032210,53033010200
0.0,53033032210,53033010500
0.0,53033032210,53033011101
0.0,53033032210,53033011700
0.0,53033011500,53033020700
0.0,53033011500,53033020800
0.0,53033011500,53033020900
0.0,53033011500,53033021000
0.0,53033011500,53033022001
0.0,53033011500,53033021400
0.0,53033011500,53033031604
0.0,53033011500,53033032011
0.0,53033011500,53033032214
0.0,53033011500,53033002600
